"target_gene_source_value","drug_source_value","interaction_source_value"
"GRIA1","CX1739","positive allosteric modulator"
"GRIA1","BECAMPANEL","antagonist"
"PDE4D","DIPYRIDAMOLE","inhibitor"
"PDE4D","THEOPHYLLINE","inhibitor"
"PDE4D","ADENOSINE PHOSPHATE","product of"
"PDE4D","DYPHYLLINE","inhibitor"
"PDE4D","ILOPROST","inducer"
"PDE4D","ROFLUMILAST","inhibitor"
"PDE4D","PICLAMILAST","[Not Available]"
"PDE4D","ROLIPRAM","inhibitor"
"PDE4D","CHEMBL63859","[Not Available]"
"PDE4D","ZARDAVERINE","[Not Available]"
"PDE4D","CILOMILAST","inhibitor"
"PDE4D","(-)-ROLIPRAM","[Not Available]"
"PDE4D","CHEMBL506972","[Not Available]"
"PDE4D","CRISABOROLE","inhibitor"
"PDE4D","IBUDILAST","inhibitor"
"PDE4D","TETOMILAST","[Not Available]"
"PDE4D","APREMILAST","c(""antagonist"", ""inhibitor"")"
"PDE4D","CHEMBL1229585","[Not Available]"
"PDE4D","ISOBUTYLMETHYLXANTHINE","[Not Available]"
"PDE4D","CHEMBL74078","[Not Available]"
"PDE4D","PROPOXYPHENE","inhibitor"
"PDE4D","CDP840","inhibitor"
"PDE4D","SODIUM PHENYLBUTYRATE","inhibitor"
"PDE4D","CHEMBL1232082","inhibitor"
"PDE4D","PENTOXIFYLLINE","inhibitor"
"PDE4D","OXTRIPHYLLINE","inhibitor"
"PDE4D","THEOPHYLLINE SODIUM GLYCINATE","inhibitor"
"PDE4D","FLAVOXATE HYDROCHLORIDE","inhibitor"
"PDE4D","AMINOPHYLLINE","inhibitor"
"PDE4D","ETAZOLATE","[Not Available]"
"PDE4D","RESVERATROL","[Not Available]"
"PDE4D","AMLEXANOX","inhibitor"
"TDO2","HYDROGEN PEROXIDE","[Not Available]"
"TDO2","DEXAMETHASONE","[Not Available]"
"DPYSL2","LACOSAMIDE","[Not Available]"
"RPS6KA1","PURVALANOLA","[Not Available]"
"RPS6KA1","CHEMBL573107","inhibitor"
"RPS6KA1","METHYL NONYL KETONE","inhibitor"
"RPS6KA1","DORSOMORPHIN","inhibitor"
"RPS6KA1","CHEMBL464552","inhibitor"
"RPS6KA1","TOLAZOLINE","inhibitor"
"RPS6KA1","PREXASERTIB","inhibitor"
"MAP2K3","PD-0325901","inhibitor"
"MAP2K3","LEUCOVORIN","inhibitor"
"MAP2K3","ROSIGLITAZONE","[Not Available]"
"MAP2K3","Refametinib","inhibitor"
"MAP2K3","WX-554","[Not Available]"
"MAP2K3","SELUMETINIB","inhibitor"
"MAP2K3","TRAMETINIB","inhibitor"
"MAP2K3","DABRAFENIB MESYLATE","inhibitor"
"MAP2K3","BINIMETINIB","inhibitor"
"MAP2K3","COBIMETINIB","inhibitor"
"COL5A1","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM","[Not Available]"
"COL5A1","OCRIPLASMIN","[Not Available]"
"MAPK8IP1","SP-600125","[Not Available]"
"MAPK8IP1","CHEMBL207228","[Not Available]"
"MAPK8IP1","CHEMBL382639","[Not Available]"
"MAPK8IP1","CHEMBL209740","[Not Available]"
"SLC44A1","HEMICHOLINIUM-3","inhibitor"
"PRKAR2B","CYCLIC ADENOSINE MONOPHOSPHATE","activator"
"PRKAR2B","THEOPHYLLINE","[Not Available]"
"PRKAR2B","BX-795","inhibitor"
"PRKAR2B","CHELERYTHRINE","inhibitor"
"PRKAR2B","METHYL NONYL KETONE","inhibitor"
"PANX1","PROBENECID","antagonist"
"PANX1","CARBENOXOLONE","inhibitor"
"PANX1","FLUFENAMIC ACID","inhibitor"
"ORM1","THALIDOMIDE","binder"
"FCER2","LUMILIXIMAB","antagonist"
"FCER2","BUDESONIDE","[Not Available]"
"ARF1","1,3-PROPANEDIOL","[Not Available]"
"ARF1","GLYCERIN","[Not Available]"
"ARF1","GUANOSINE TRIPHOSPHATE","[Not Available]"
"ARF1","CHEMBL384759","[Not Available]"
"ARF1","MYRISTIC ACID","[Not Available]"
"PRKAA2","METFORMIN HYDROCHLORIDE","[Not Available]"
"WT1","NANDROLONE PHENPROPIONATE","[Not Available]"
"WT1","CURCUMIN","[Not Available]"
"WT1","DEFEROXAMINE","[Not Available]"
"WT1","HALOFUGINONE","[Not Available]"
"WT1","SIROLIMUS","[Not Available]"
"WT1","TRETINOIN","[Not Available]"
"WT1","DIMETHYL SULFOXIDE","[Not Available]"
"WT1","CYTARABINE","[Not Available]"
"WT1","DAUNORUBICIN","[Not Available]"
"DES","THROMBIN","[Not Available]"
"DES","PHORBOL MYRISTATE ACETATE","[Not Available]"
"TRHR","PROTIRELIN","c(""agonist"", ""ligand"")"
"TRHR","TALTIRELIN","agonist"
"ENO2","PHOSPHOGLYCOLIC ACID","[Not Available]"
"ENO2","FENRETINIDE","[Not Available]"
"ENO2","FLOXURIDINE","[Not Available]"
"ENO2","GABAPENTIN","[Not Available]"
"ENO2","INDOMETHACIN","[Not Available]"
"ENO2","PROPOFOL","[Not Available]"
"ENO2","SODIUM BUTYRATE","[Not Available]"
"ENO2","LIOTHYRONINE SODIUM","[Not Available]"
"ENO2","STREPTOZOTOCIN","[Not Available]"
"APOA1","LAMIVUDINE","[Not Available]"
"APOA1","ALCOHOL","[Not Available]"
"APOA1","FUROSEMIDE","[Not Available]"
"APOA1","GLUCAGON","[Not Available]"
"APOA1","TRETINOIN","[Not Available]"
"APOA1","TESTOSTERONE","[Not Available]"
"APOA1","RITONAVIR","[Not Available]"
"APOA1","APABETALONE","[Not Available]"
"APOA1","FENOFIBRATE","[Not Available]"
"SIGLEC1","CHEMBL1234621","[Not Available]"
"SIGLEC1","DEXTROSE","[Not Available]"
"P2RY14","CHEMBL228111","agonist"
"P2RY14","PILOCARPINE HYDROCHLORIDE","agonist"
"P2RY14","UDP-GALACTOSE","agonist"
"P2RY14","URIDINE DIPHOSPHATE GLUCOSE","agonist"
"P2RY14","CHEMBL1162071","agonist"
"P2RY14","CHEMBL50267","agonist"
"P2RY14","URIDINE_DIPHOSPHATE","agonist"
"P2RY14","PHENYRAMIDOL","antagonist"
"P2RY14","CHEMBL1800685","antagonist"
"NDUFA6","CHEMBL1161866","[Not Available]"
"NDUFA6","NV-128","inhibitor"
"NDUFA6","ME-344","inhibitor"
"NDUFA6","METFORMIN HYDROCHLORIDE","inhibitor"
"RBL2","SIROLIMUS","[Not Available]"
"THBS4","VASOPRESSIN","[Not Available]"
"OGDH","CHEMBL1161866","[Not Available]"
"CTSC","YOHIMBINE","inhibitor"
"CTSC","CALCIUM GLUCONATE","[Not Available]"
"CTSC","PENTOSAN POLYSULFATE SODIUM","[Not Available]"
"CTSC","PROGESTERONE","[Not Available]"
"ANXA3","MONOETHANOLAMINE","[Not Available]"
"ANXA3","NAPHTHALENE","agonist"
"ANXA3","CHEMBL435278","agonist"
"ANXA3","CHEMBL122264","agonist"
"ANXA3","CHEMBL17639","agonist"
"ANXA3","CHEMBL21283","antagonist"
"TLE3","DOCETAXEL","[Not Available]"
"TLE3","PACLITAXEL","[Not Available]"
"MVK","DIMETHYLALLYL DIPHOSPHATE","inhibitor"
"MVK","FELBAMATE","inhibitor"
"MVK","FARNESOL","inhibitor"
"MVK","GERANYL DIPHOSPHATE","inhibitor"
"MVK","FARNESYL DIPHOSPHATE","inhibitor"
"MVK","FELODIPINE","inhibitor"
"CHRM2","DAROTROPIUM BROMIDE","antagonist"
"CHRM2","FLAVOXATE","[Not Available]"
"CHRM2","ARIPIPRAZOLE","antagonist"
"CHRM2","OLANZAPINE","antagonist"
"CHRM2","METHIXENE","antagonist"
"CHRM2","TERFENADINE","binder"
"CHRM2","CLOZAPINE","antagonist"
"CHRM2","OXYPHENCYCLIMINE","antagonist"
"CHRM2","PROCYCLIDINE","antagonist"
"CHRM2","ETHOPROPAZINE","antagonist"
"CHRM2","LOXAPINE","binder"
"CHRM2","PROMAZINE","antagonist"
"CHRM2","HYOSCYAMINE","antagonist"
"CHRM2","GALLAMINE TRIETHIODIDE","antagonist"
"CHRM2","DARIFENACIN","antagonist"
"CHRM2","TRIDIHEXETHYL","antagonist"
"CHRM2","TRIFLUPROMAZINE","antagonist"
"CHRM2","ANISOTROPINE METHYLBROMIDE","antagonist"
"CHRM2","SCOPOLAMINE","antagonist"
"CHRM2","BENZQUINAMIDE","antagonist"
"CHRM2","PROPIOMAZINE","antagonist"
"CHRM2","TROPICAMIDE","antagonist"
"CHRM2","BROMPHENIRAMINE","antagonist"
"CHRM2","COCAINE","antagonist"
"CHRM2","GLYCOPYRROLATE","c(""antagonist"", ""binder"")"
"CHRM2","TOLTERODINE","antagonist"
"CHRM2","PILOCARPINE","agonist"
"CHRM2","DOXACURIUM CHLORIDE","antagonist"
"CHRM2","MIVACURIUM","c(""antagonist"", ""partial agonist"")"
"CHRM2","DIPHENIDOL","antagonist"
"CHRM2","CHLORPROTHIXENE","antagonist"
"CHRM2","METOCURINE","antagonist"
"CHRM2","PIPECURONIUM","antagonist"
"CHRM2","LEVOMEPROMAZINE","antagonist"
"CHRM2","FESOTERODINE","antagonist"
"CHRM2","DIMETHINDENE","antagonist"
"CHRM2","ACLIDINIUM","antagonist"
"CHRM2","UMECLIDINIUM","antagonist"
"CHRM2","ACETYLCHOLINE","agonist"
"CHRM2","ARECAIDINE PROPARGYL ESTER","agonist"
"CHRM2","ARECOLINE","agonist"
"CHRM2","BETHANECHOL","agonist"
"CHRM2","FURTRETHONIUM","agonist"
"CHRM2","5-METHYLFURMETHIODIDE","agonist"
"CHRM2","CHEMBL99521","agonist"
"CHRM2","ERIBAXABAN","agonist"
"CHRM2","OXOTREMORINE","agonist"
"CHRM2","CHEMBL130715","agonist"
"CHRM2","XANOMELINE","agonist"
"CHRM2","ALCURONIUM","allosteric modulator"
"CHRM2","BRUCINE","allosteric modulator"
"CHRM2","CHEMBL343357","allosteric modulator"
"CHRM2","GALLAMINE","allosteric modulator"
"CHRM2","CHEMBL343796","allosteric modulator"
"CHRM2","CHEMBL139677","allosteric modulator"
"CHRM2","CHEMBL266295","allosteric modulator"
"CHRM2","CHEMBL2206331","allosteric modulator"
"CHRM2","CHEMBL1256845","allosteric modulator"
"CHRM2","VINBURNINE","allosteric modulator"
"CHRM2","VINCAMINE","allosteric modulator"
"CHRM2","SALICYLIC ACID","allosteric modulator"
"CHRM2","STAUROSPORINE","allosteric modulator"
"CHRM2","STRYCHNINE","allosteric modulator"
"CHRM2","4-DAMP","antagonist"
"CHRM2","CHEMBL279453","antagonist"
"CHRM2","AMITRIPTYLINE","antagonist"
"CHRM2","BENZTROPINE MESYLATE","antagonist"
"CHRM2","ATROPINE","antagonist"
"CHRM2","BIPERIDEN (CHEMBL1101)","antagonist"
"CHRM2","DEXETIMIDE","antagonist"
"CHRM2","DICYCLOMINE","antagonist"
"CHRM2","DOTHIEPIN (CHEMBL1492500)","antagonist"
"CHRM2","CHEMBL580785","antagonist"
"CHRM2","HEXOCYCLIUM","antagonist"
"CHRM2","HIMBACINE","antagonist"
"CHRM2","IMIPRAMINE","antagonist"
"CHRM2","CHEMBL1256682","antagonist"
"CHRM2","IPRATROPIUM","antagonist"
"CHRM2","METHOCTRAMINE","antagonist"
"CHRM2","HYDROCHLORIC ACID","antagonist"
"CHRM2","OTENZEPAD","antagonist"
"CHRM2","OXYBUTYNIN","antagonist"
"CHRM2","PIRENZEPINE","antagonist"
"CHRM2","PROPANTHELINE","antagonist"
"CHRM2","CHEMBL73341","antagonist"
"CHRM2","SOLIFENACIN","antagonist"
"CHRM2","CLIDINIUM","antagonist"
"CHRM2","COENZYME_A","antagonist"
"CHRM2","QUINUCLIDINYL BENZILATE","antagonist"
"CHRM2","CHEMBL1671887","antagonist"
"CHRM2","TIOTROPIUM (CHEMBL1900528)","antagonist"
"CHRM2","TRIPITRAMINE","antagonist"
"CHRM2","CHEMBL1233686","antagonist"
"CHRM2","CHEMBL1628667","antagonist"
"CHRM2","PROMETHAZINE","[Not Available]"
"CHRM2","Afacifenacin","antagonist"
"CHRM2","ASM-024","antagonist"
"CHRM2","SOLIFENACIN SUCCINATE","antagonist"
"CHRM2","PROPANTHELINE BROMIDE","antagonist"
"CHRM2","BETHANECHOL CHLORIDE","agonist"
"CHRM2","FESOTERODINE FUMARATE","antagonist"
"CHRM2","DARIFENACIN HYDROBROMIDE","antagonist"
"CHRM2","ATROPINE SULFATE","antagonist"
"CHRM2","TROSPIUM CHLORIDE","antagonist"
"CHRM2","OXYBUTYNIN CHLORIDE","antagonist"
"CHRM2","TOLTERODINE TARTRATE","antagonist"
"CHRM2","THIETHYLPERAZINE","[Not Available]"
"CHRM2","DESIPRAMINE","[Not Available]"
"CHRM2","ROCURONIUM","[Not Available]"
"CHRM2","DOXEPIN","[Not Available]"
"CHRM2","BATEFENTEROL","antagonist"
"CHRM2","HOMATROPINE METHYLBROMIDE","[Not Available]"
"CHRM2","DOXACURIUM","[Not Available]"
"SLC7A4","LYSINE","[Not Available]"
"SLC7A4","ARGININE","[Not Available]"
"SLC7A4","ORNITHINE","[Not Available]"
"DDAH2","L-CITRULLINE","[Not Available]"
"PDXDC1","PYRIDOXAL PHOSPHATE","cofactor"
"MARCH1","MEDRONIC ACID","[Not Available]"
"CHRNA7","AQW051","c(""agonist"", ""partial agonist"")"
"CHRNA7","JNJ-39393406","positive allosteric modulator"
"CHRNA7","SSR180711","partial agonist"
"CHRNA7","RG3487","c(""antagonist"", ""partial agonist"")"
"CHRNA7","ENCENICLINE","c(""agonist"", ""partial agonist"")"
"CHRNA7","PENTOBARBITAL","[Not Available]"
"CHRNA7","BUTABARBITAL","antagonist"
"CHRNA7","BUTALBITAL","antagonist"
"CHRNA7","TALBUTAL","antagonist"
"CHRNA7","SECOBARBITAL","antagonist"
"CHRNA7","METHARBITAL","antagonist"
"CHRNA7","THIOPENTAL","antagonist"
"CHRNA7","PRIMIDONE","antagonist"
"CHRNA7","MEPHOBARBITAL","antagonist"
"CHRNA7","PHENOBARBITAL","antagonist"
"CHRNA7","VARENICLINE","agonist"
"CHRNA7","AMOBARBITAL","antagonist"
"CHRNA7","APROBARBITAL","antagonist"
"CHRNA7","BUTETHAL","antagonist"
"CHRNA7","HEPTABARBITAL","antagonist"
"CHRNA7","HEXOBARBITAL","antagonist"
"CHRNA7","BARBITAL","antagonist"
"CHRNA7","TENOCYCLIDINE","antagonist"
"CHRNA7","CHEMBL134713","[Not Available]"
"CHRNA7","BRADANICLINE","agonist"
"CHRNA7","CYTISINE","agonist"
"CHRNA7","AZD0328","agonist"
"CHRNA7","PHA-543613","agonist"
"CHRNA7","CHEMBL403858","agonist"
"CHRNA7","PNU-282987","c(""agonist"", ""antagonist"")"
"CHRNA7","CHEMBL195345","agonist"
"CHRNA7","EPIBATIDINE","agonist"
"CHRNA7","CHEMBL490153","allosteric modulator"
"CHRNA7","IVERMECTIN","allosteric modulator"
"CHRNA7","CHEMBL407217","allosteric modulator"
"CHRNA7","CHEMBL257591","allosteric modulator"
"CHRNA7","LOXAPINE","antagonist"
"CHRNA7","ATRACURIUM","antagonist"
"CHRNA7","METHYLLYCACONITINE","antagonist"
"CHRNA7","LYSERGIDE","antagonist"
"CHRNA7","AVL-3288","positive allosteric modulator"
"CHRNA7","ABT-107","agonist"
"CHRNA7","APN1125","partial agonist"
"CHRNA7","TC-6987","agonist"
"CHRNA7","NICOTINE","[Not Available]"
"CHRNA7","ZIPRASIDONE","binder"
"CHRNA7","ASM-024","modulator"
"CHRNA7","ND0801","agonist"
"CHRNA7","ABT-126","agonist"
"GRIN2B","AZD8108","antagonist"
"GRIN2B","CERC-301","antagonist"
"GRIN2B","ESKETAMINE HYDROCHLORIDE","[Not Available]"
"GRIN2B","EVT-101 (CHEMBL3545349)","antagonist"
"GRIN2B","CNS-5161","blocker"
"GRIN2B","NERAMEXANE MESYLATE","antagonist"
"GRIN2B","L-GLUTAMATE","[Not Available]"
"GRIN2B","FELBAMATE","antagonist"
"GRIN2B","D-ASPARTATE","agonist"
"GRIN2B","(D)-SERINE","agonist"
"GRIN2B","GLYCINE","agonist"
"GRIN2B","ASPARTIC ACID","agonist"
"GRIN2B","CHEMBL280828","agonist"
"GRIN2B","CHEMBL140784","agonist"
"GRIN2B","N-METHYL-D-ASPARTIC ACID (NMDA)","agonist"
"GRIN2B","CHEMBL50267","antagonist"
"GRIN2B","CGP-37849","antagonist"
"GRIN2B","CONANTOKIN G","antagonist"
"GRIN2B","CHEMBL287327","antagonist"
"GRIN2B","CHEMBL31741","antagonist"
"GRIN2B","CHEMBL173031","antagonist"
"GRIN2B","CHEMBL273636","antagonist"
"GRIN2B","SELFOTEL","antagonist"
"GRIN2B","MESORIDAZINE","antagonist"
"GRIN2B","CHEMBL22304","antagonist"
"GRIN2B","MODAFINIL","antagonist"
"GRIN2B","CHEMBL191838","antagonist"
"GRIN2B","AMANTADINE HYDROCHLORIDE","c(""antagonist"", ""channel blocker"")"
"GRIN2B","DIZOCILPINE","channel blocker"
"GRIN2B","KETAMINE","channel blocker"
"GRIN2B","MAGNESIUM","channel blocker"
"GRIN2B","CHEMBL1184349","channel blocker"
"GRIN2B","PHENCYCLIDINE","channel blocker"
"GRIN2B","TENOCYCLIDINE","antagonist"
"GRIN2B","ACETYLCYSTEINE","activator"
"GRIN2B","IFENPRODIL","antagonist"
"GRIN2B","NRX-1074","partial agonist"
"GRIN2B","RAPASTINEL","partial agonist"
"GRIN2B","NEBOGLAMINE","positive allosteric modulator"
"GRIN2B","AV-101","antagonist"
"GRIN2B","TRAXOPRODIL","antagonist"
"GRIN2B","Radiprodil","antagonist"
"GRIN2B","RALFINAMIDE","antagonist"
"GRIN2B","ACAMPROSATE CALCIUM","antagonist"
"GRIN2B","MEMANTINE HYDROCHLORIDE","[Not Available]"
"GRIN2B","Indantadol","antagonist"
"GRIN2B","BESONPRODIL","antagonist"
"GRIN2B","MEMANTINE","[Not Available]"
"GRIN2B","VALPROIC ACID","[Not Available]"
"GRIN2B","CHEMBL334533","[Not Available]"
"GRIN2B","DIMIRACETAM","[Not Available]"
"GRIN2B","DELUCEMINE","antagonist"
"GRIN2B","LANICEMINE","blocker"
"GRIN2B","ESKETAMINE","[Not Available]"
"GRIN2B","KETAMINE HYDROCHLORIDE","[Not Available]"
"GRIN2B","ORPHENADRINE CITRATE","antagonist"
"GRIN2B","ORPHENADRINE (CHLORIDE)","antagonist"
"GRIN2B","LATREPIRDINE","[Not Available]"
"GRIN2B","GW468816","antagonist"
"GRIN2B","NERAMEXANE","[Not Available]"
"CHRNA6","VARENICLINE","partial agonist"
"CHRNA6","CYTISINE","agonist"
"CHRNA6","HEXAMETHONIUM","channel blocker"
"CHRNA6","POZANICLINE","partial agonist"
"FTCD","PYRIDOXAL PHOSPHATE","cofactor"
"FTCD","TETRAHYDROFOLATE","cofactor"
"FTCD","L-GLUTAMATE","[Not Available]"
"FTCD","FOLINIC ACID","[Not Available]"
"MCCC1","BIOTIN","[Not Available]"
"SELL","BIMOSIAMOSE","inhibitor"
"SELL","RIVIPANSEL","antagonist"
"SELL","ASELIZUMAB","inhibitor"
"SHH","CAFFEINE","[Not Available]"
"SHH","TRETINOIN","[Not Available]"
"MCL1","VENETOCLAX","antagonist"
"MCL1","ASPIRIN","[Not Available]"
"MCL1","CAMPTOTHECIN","[Not Available]"
"MCL1","CARBOPLATIN","[Not Available]"
"MCL1","DEPSIPEPTIDE","[Not Available]"
"MCL1","DOCETAXEL","[Not Available]"
"MCL1","CHEMBL1213492","[Not Available]"
"MCL1","SIROLIMUS","[Not Available]"
"MCL1","OBATOCLAX MESYLATE","inhibitor"
"MCL1","ISOSORBIDE","inhibitor"
"PIK3CA","GSK-1059615","inhibitor"
"PIK3CA","WX-037","inhibitor"
"PIK3CA","PF-04691502","inhibitor"
"PIK3CA","GEDATOLISIB","inhibitor"
"PIK3CA","PILARALISIB (CHEMBL3218575)","inhibitor"
"PIK3CA","VOXTALISIB","inhibitor"
"PIK3CA","WORTMANNIN","inhibitor"
"PIK3CA","ALPELISIB","inhibitor"
"PIK3CA","AMG-319","inhibitor"
"PIK3CA","APITOLISIB","inhibitor"
"PIK3CA","AZD-6482","inhibitor"
"PIK3CA","AZD-8186","inhibitor"
"PIK3CA","CANDICIDIN","inhibitor"
"PIK3CA","BUPARLISIB","inhibitor"
"PIK3CA","PA-799","inhibitor"
"PIK3CA","CUDC-907","inhibitor"
"PIK3CA","DACTOLISIB","inhibitor"
"PIK3CA","DUVELISIB","inhibitor"
"PIK3CA","PHENMETRAZINE","inhibitor"
"PIK3CA","IDELALISIB","inhibitor"
"PIK3CA","INK-128","inhibitor"
"PIK3CA","OXAZEPAM","inhibitor"
"PIK3CA","CHEMBL1086377","inhibitor"
"PIK3CA","LY-294002","inhibitor"
"PIK3CA","LY-3023414","inhibitor"
"PIK3CA","OMIPALISIB","inhibitor"
"PIK3CA","PI-103","inhibitor"
"PIK3CA","CHEMBL568150","inhibitor"
"PIK3CA","CHEMBL1231533","inhibitor"
"PIK3CA","PICTILISIB","inhibitor"
"PIK3CA","PILARALISIB (CHEMBL3360203)","inhibitor"
"PIK3CA","CHEMBL1081312","inhibitor"
"PIK3CA","YOHIMBINE","inhibitor"
"PIK3CA","TASELISIB","inhibitor"
"PIK3CA","TG100-115","inhibitor"
"PIK3CA","VS-5584","inhibitor"
"PIK3CA","ZSTK-474","inhibitor"
"PIK3CA","CHEMBL126955","[Not Available]"
"PIK3CA","CAMPTOTHECIN","[Not Available]"
"PIK3CA","CARBOPLATIN","[Not Available]"
"PIK3CA","IRINOTECAN","[Not Available]"
"PIK3CA","PRASTERONE","[Not Available]"
"PIK3CA","DOXORUBICIN","[Not Available]"
"PIK3CA","ALVOCIDIB","[Not Available]"
"PIK3CA","REGRAMOSTIM","[Not Available]"
"PIK3CA","INDOLE-3-CARBINOL","[Not Available]"
"PIK3CA","MILTEFOSINE","[Not Available]"
"PIK3CA","PACLITAXEL","[Not Available]"
"PIK3CA","QUERCETIN","inhibitor"
"PIK3CA","RALOXIFENE","[Not Available]"
"PIK3CA","SIROLIMUS","[Not Available]"
"PIK3CA","RESVERATROL","[Not Available]"
"PIK3CA","ETRETINATE","[Not Available]"
"PIK3CA","STREPTOZOTOCIN","[Not Available]"
"PIK3CA","SULINDAC","[Not Available]"
"PIK3CA","SURAMIN","[Not Available]"
"PIK3CA","VINCRISTINE","[Not Available]"
"PIK3CA","ZINC SULFATE","[Not Available]"
"PIK3CA","AZD-5363","[Not Available]"
"PIK3CA","FULVESTRANT","[Not Available]"
"PIK3CA","COPANLISIB","inhibitor"
"PIK3CA","TRASTUZUMAB","[Not Available]"
"PIK3CA","OLAPARIB","[Not Available]"
"PIK3CA","EVEROLIMUS","[Not Available]"
"PIK3CA","Ribociclib","[Not Available]"
"PIK3CA","LETROZOLE","[Not Available]"
"PIK3CA","DS-7423","inhibitor"
"PIK3CA","INK-1117","inhibitor"
"PIK3CA","MLN-1117","inhibitor"
"PIK3CA","RECILISIB","inhibitor"
"PIK3CA","Panulisib","inhibitor"
"PIK3CA","PKI-179","inhibitor"
"PIK3CA","PWT-33587","inhibitor"
"PIK3CA","RG-7666","inhibitor"
"PIK3CA","SONOLISIB","inhibitor"
"PIK3CA","SF-1126","inhibitor"
"PIK3CA","PWT-33579","inhibitor"
"PIK3CA","RIGOSERTIB","[Not Available]"
"PIK3CA","DOCETAXEL","[Not Available]"
"PIK3CA","SAR-260301","inhibitor"
"PIK3CA","BAY-1082439","inhibitor"
"PIK3CA","BGT-226 (CHEMBL3545096)","inhibitor"
"PIK3CA","GSK-2636771","inhibitor"
"PIK3CA","HERBIMYCIN","[Not Available]"
"PIK3CA","Puquitinib","inhibitor"
"PIK3CA","MIDOSTAURIN","[Not Available]"
"PIK3CA","BUPARLISIB HYDROCHLORIDE","inhibitor"
"PIK3CA","TEMSIROLIMUS","[Not Available]"
"PIK3CA","CETUXIMAB","[Not Available]"
"PIK3CA","PANITUMUMAB","[Not Available]"
"PIK3CA","PERIFOSINE","[Not Available]"
"PIK3CA","MK-2206","[Not Available]"
"PIK3CA","LAPATINIB","[Not Available]"
"PIK3CA","CABOZANTINIB","[Not Available]"
"PIK3CA","PALBOCICLIB","[Not Available]"
"PIK3CA","TRAMETINIB","[Not Available]"
"PIK3CA","BEVACIZUMAB","[Not Available]"
"PIK3CA","SORAFENIB","[Not Available]"
"PIK3CA","FLUOROURACIL","[Not Available]"
"PIK3CA","NERATINIB","[Not Available]"
"PIK3CA","ARQ-092","[Not Available]"
"PIK3CA","BAY-1125976","[Not Available]"
"PIK3CA","TRASTUZUMAB EMTANSINE","[Not Available]"
"PIK3CA","PD-0325901","[Not Available]"
"PIK3CA","LUCITANIB","[Not Available]"
"PIK3CA","AZD-8055","[Not Available]"
"PIK3CA","SELUMETINIB","[Not Available]"
"PIK3CA","AT-13148","[Not Available]"
"PIK3CA","A-443654","[Not Available]"
"PIK3CA","NAVITOCLAX","[Not Available]"
"PIK3CA","DEGUELIN","[Not Available]"
"PIK3CA","IPATASERTIB","[Not Available]"
"PIK3CA","CHEMBL263664","[Not Available]"
"PIK3CA","GEMCITABINE","[Not Available]"
"PIK3CA","UPROSERTIB","[Not Available]"
"PIK3CA","CC-223","[Not Available]"
"PIK3CA","OSI-027","[Not Available]"
"PIK3CA","Acalisib","[Not Available]"
"PIK3CA","CHEMBL1765740","[Not Available]"
"PIK3CA","CHEMBL428462","[Not Available]"
"PIK3CA","MSC-2363318A","[Not Available]"
"PIK3CA","CAPECITABINE","[Not Available]"
"PIK3CA","REGORAFENIB","[Not Available]"
"PIK3CA","PIMASERTIB","[Not Available]"
"PIK3CA","LY-2780301","[Not Available]"
"PIK3CA","FLOXURIDINE","[Not Available]"
"PIK3CA","COBIMETINIB","[Not Available]"
"PIK3CA","CHEMBL589258","[Not Available]"
"PIK3CA","VENETOCLAX","[Not Available]"
"PIK3CA","U-0126","[Not Available]"
"PIK3CA","VEMURAFENIB","[Not Available]"
"PIK3CA","TAK-733","[Not Available]"
"PIK3CA","METFORMIN","[Not Available]"
"PIK3CA","TAMOXIFEN","[Not Available]"
"PIK3CA","TORIN1","[Not Available]"
"PIK3CA","RIDAFOROLIMUS","[Not Available]"
"PIK3CA","AFURESERTIB","[Not Available]"
"PIK3CA","BENZONATATE","[Not Available]"
"PIK3CA","AEW-541","[Not Available]"
"PIK3CA","LINSITINIB","[Not Available]"
"PIK3CA","PERTUZUMAB","[Not Available]"
"PIK3CA","DASATINIB","[Not Available]"
"PIK3CA","DEMCIZUMAB","[Not Available]"
"PIK3CA","PONATINIB","[Not Available]"
"PIK3CA","DABRAFENIB","[Not Available]"
"PIK3CA","CHEMBL376408","[Not Available]"
"PIK3CA","INFIGRATINIB","[Not Available]"
"PIK3CA","BORTEZOMIB","[Not Available]"
"PIK3CA","TOPOTECAN","[Not Available]"
"PIM3","LGH-447","inhibitor"
"PIM3","AZD-1208","inhibitor"
"PIM3","SGI-1776","inhibitor"
"PIM3","VADIMEZAN","[Not Available]"
"SELP","CHEMBL1234621","[Not Available]"
"SELP","DALTEPARIN SODIUM","inhibitor"
"SELP","NADROPARIN CALCIUM","inhibitor"
"SELP","BIMOSIAMOSE","inhibitor"
"SELP","RIVIPANSEL","antagonist"
"SELP","RO-4905417","inhibitor"
"SELP","RG-1512","inhibitor"
"SLCO1C1","DPDPE","inhibitor"
"SLCO1C1","PROBENECID","inhibitor"
"SLCO1C1","TAUROCHOLIC ACID","inhibitor"
"SLCO1C1","BROMOSULFOPHTHALEIN","[Not Available]"
"BIRC7","CHEMBL2063869","antagonist"
"LIMK1","DABRAFENIB","inhibitor"
"HEXB","GLUCONOLACTONE","[Not Available]"
"HEXB","CHEMBL257158","[Not Available]"
"HEXB","CISPLATIN (CHEMBL2068237)","[Not Available]"
